age,gender,split,final
31,M,1:06:07,2:08:43
32,M,1:06:06,2:09:07
30,M,1:06:06,2:11:22
39,M,1:06:06,2:13:10
30,M,1:06:06,2:13:33
31,M,1:06:06,2:14:17
26,M,1:06:26,2:14:23
31,M,1:06:26,2:14:30
29,M,1:06:08,2:15:25
30,M,1:06:27,2:16:37
27,M,1:07:36,2:18:38
36,M,1:06:07,2:19:11
30,M,1:06:06,2:19:13
25,M,1:09:48,2:19:54
27,M,1:09:48,2:20:17
24,M,1:09:48,2:20:23
22,M,1:09:43,2:20:44
29,M,1:06:06,2:20:47
30,M,1:06:06,2:21:40
26,M,1:09:25,2:21:54
36,M,1:09:49,2:21:55
40,M,1:09:49,2:22:34
25,M,1:09:49,2:22:38
27,M,1:09:50,2:22:55
25,M,1:10:51,2:23:06
30,M,1:12:00,2:23:22
27,M,1:11:44,2:23:27
34,W,1:13:23,2:23:56
35,M,1:06:31,2:24:45
28,M,1:09:44,2:25:37
40,W,1:13:24,2:25:43
30,M,1:13:19,2:25:53
29,M,1:08:29,2:25:53
30,W,1:13:24,2:25:53
32,M,1:13:04,2:26:09
30,M,1:12:00,2:26:30
23,M,1:13:19,2:27:05
27,W,1:13:25,2:27:49
33,M,1:06:57,2:27:55
47,M,1:15:01,2:28:52
28,M,1:12:16,2:28:22
37,M,1:13:02,2:28:30
37,M,1:13:22,2:28:49
34,M,1:13:00,2:29:09
36,W,1:13:29,2:29:14
33,W,1:13:24,2:29:25
23,W,1:13:24,2:29:28
38,M,1:13:15,2:29:41
33,M,1:13:21,2:29:50
35,W,1:13:30,2:30:04
22,M,1:09:49,2:30:06
28,M,1:13:22,2:30:13
31,M,1:13:22,2:30:37
37,W,1:13:50,2:30:38
31,W,1:14:15,2:31:14
29,M,1:14:23,2:31:21
35,M,1:14:24,2:31:27
31,M,1:15:10,2:31:50
30,M,1:07:37,2:31:54
44,M,1:17:26,2:32:20
25,M,1:13:19,2:32:17
29,M,1:15:11,2:32:24
34,M,1:15:10,2:32:30
32,M,1:13:16,2:32:48
27,M,1:14:50,2:32:46
33,M,1:13:50,2:32:53
26,M,1:15:03,2:33:04
34,M,1:12:47,2:33:14
43,M,1:15:08,2:33:18
27,M,1:13:12,2:33:56
