,date,gender,births
0,1969-01-01,F,4046
1,1969-01-01,M,4440
2,1969-01-02,F,4454
3,1969-01-02,M,4548
4,1969-01-03,F,4548
5,1969-01-03,M,4994
6,1969-01-04,F,4440
7,1969-01-04,M,4520
8,1969-01-05,F,4192
9,1969-01-05,M,4198
10,1969-01-06,F,4710
11,1969-01-06,M,4850
12,1969-01-07,F,4646
13,1969-01-07,M,5092
14,1969-01-08,F,4800
15,1969-01-08,M,4934
16,1969-01-09,F,4592
17,1969-01-09,M,4842
18,1969-01-10,F,4852
19,1969-01-10,M,5190
20,1969-01-11,F,4580
21,1969-01-11,M,4598
22,1969-01-12,F,4126
23,1969-01-12,M,4324
24,1969-01-13,F,4758
25,1969-01-13,M,5076
26,1969-01-14,F,5070
27,1969-01-14,M,5296
28,1969-01-15,F,4798
29,1969-01-15,M,5096
30,1969-01-16,F,4790
31,1969-01-16,M,4872
32,1969-01-17,F,4944
33,1969-01-17,M,5030
34,1969-01-18,F,4670
35,1969-01-18,M,4642
36,1969-01-19,F,4170
37,1969-01-19,M,4452
38,1969-01-20,F,4884
39,1969-01-20,M,4924
40,1969-01-21,F,5042
41,1969-01-21,M,5432
42,1969-01-22,F,4796
43,1969-01-22,M,5088
44,1969-01-23,F,4794
45,1969-01-23,M,4660
46,1969-01-24,F,4752
47,1969-01-24,M,5046
48,1969-01-25,F,4348
49,1969-01-25,M,4674
50,1969-01-26,F,4230
51,1969-01-26,M,4338
52,1969-01-27,F,4864
53,1969-01-27,M,5046
54,1969-01-28,F,4860
55,1969-01-28,M,5172
56,1969-01-29,F,4500
57,1969-01-29,M,4880
58,1969-01-30,F,4668
59,1969-01-30,M,5006
60,1969-01-31,F,4780
61,1969-01-31,M,4912
64,1969-02-01,F,4394
65,1969-02-01,M,4736
66,1969-02-02,F,4334
67,1969-02-02,M,4480
68,1969-02-03,F,4878
69,1969-02-03,M,5110
70,1969-02-04,F,4796
71,1969-02-04,M,5200
72,1969-02-05,F,4674
73,1969-02-05,M,5002
74,1969-02-06,F,4760
75,1969-02-06,M,4968
76,1969-02-07,F,4940
77,1969-02-07,M,5162
78,1969-02-08,F,4626
79,1969-02-08,M,4636
80,1969-02-09,F,4252
81,1969-02-09,M,4442
82,1969-02-10,F,4958
83,1969-02-10,M,4996
84,1969-02-11,F,4796
85,1969-02-11,M,5060
86,1969-02-12,F,4780
87,1969-02-12,M,5228
88,1969-02-13,F,4850
89,1969-02-13,M,4756
90,1969-02-14,F,5092
91,1969-02-14,M,5262
92,1969-02-15,F,4598
93,1969-02-15,M,4712
94,1969-02-16,F,4118
95,1969-02-16,M,4416
96,1969-02-17,F,4768
97,1969-02-17,M,5054
98,1969-02-18,F,4962
99,1969-02-18,M,5214
100,1969-02-19,F,4788
101,1969-02-19,M,5028
102,1969-02-20,F,4920
103,1969-02-20,M,5062
104,1969-02-21,F,4940
105,1969-02-21,M,4976
106,1969-02-22,F,4484
107,1969-02-22,M,4668
108,1969-02-23,F,4298
109,1969-02-23,M,4406
110,1969-02-24,F,4798
111,1969-02-24,M,5168
112,1969-02-25,F,5196
113,1969-02-25,M,5370
114,1969-02-26,F,4838
115,1969-02-26,M,5210
116,1969-02-27,F,4588
117,1969-02-27,M,5030
118,1969-02-28,F,4792
119,1969-02-28,M,4964
128,1969-03-01,F,4402
129,1969-03-01,M,4784
130,1969-03-02,F,4204
131,1969-03-02,M,4376
132,1969-03-03,F,4874
133,1969-03-03,M,5194
134,1969-03-04,F,4994
135,1969-03-04,M,5270
136,1969-03-05,F,4958
137,1969-03-05,M,5088
138,1969-03-06,F,4640
139,1969-03-06,M,5064
140,1969-03-07,F,4658
141,1969-03-07,M,5290
142,1969-03-08,F,4462
143,1969-03-08,M,4872
144,1969-03-09,F,4146
145,1969-03-09,M,4248
146,1969-03-10,F,4816
147,1969-03-10,M,5076
148,1969-03-11,F,5096
149,1969-03-11,M,5092
150,1969-03-12,F,4800
151,1969-03-12,M,4976
152,1969-03-13,F,4710
153,1969-03-13,M,4930
154,1969-03-14,F,4936
155,1969-03-14,M,5098
156,1969-03-15,F,4300
157,1969-03-15,M,4538
158,1969-03-16,F,4110
159,1969-03-16,M,4226
160,1969-03-17,F,4788
161,1969-03-17,M,5340
162,1969-03-18,F,4910
163,1969-03-18,M,5226
164,1969-03-19,F,4968
165,1969-03-19,M,5096
166,1969-03-20,F,4738
167,1969-03-20,M,5074
168,1969-03-21,F,4832
169,1969-03-21,M,5070
170,1969-03-22,F,4446
171,1969-03-22,M,4516
172,1969-03-23,F,4240
173,1969-03-23,M,4362
174,1969-03-24,F,4730
175,1969-03-24,M,5072
176,1969-03-25,F,4976
177,1969-03-25,M,5296
178,1969-03-26,F,4822
179,1969-03-26,M,4996
180,1969-03-27,F,4628
181,1969-03-27,M,5070
182,1969-03-28,F,4968
183,1969-03-28,M,5358
184,1969-03-29,F,4292
185,1969-03-29,M,4616
186,1969-03-30,F,3986
187,1969-03-30,M,4200
188,1969-03-31,F,4590
189,1969-03-31,M,5002
192,1969-04-01,F,4990
193,1969-04-01,M,4970
194,1969-04-02,F,4766
195,1969-04-02,M,5212
196,1969-04-03,F,4682
197,1969-04-03,M,4848
198,1969-04-04,F,4718
199,1969-04-04,M,4854
200,1969-04-05,F,4384
201,1969-04-05,M,4364
202,1969-04-06,F,3896
203,1969-04-06,M,4112
204,1969-04-07,F,4418
205,1969-04-07,M,4956
206,1969-04-08,F,4930
207,1969-04-08,M,5246
208,1969-04-09,F,4748
209,1969-04-09,M,5104
210,1969-04-10,F,4730
211,1969-04-10,M,4978
212,1969-04-11,F,4848
213,1969-04-11,M,5072
214,1969-04-12,F,4318
215,1969-04-12,M,4622
216,1969-04-13,F,3886
217,1969-04-13,M,4248
218,1969-04-14,F,4726
219,1969-04-14,M,4840
220,1969-04-15,F,5064
221,1969-04-15,M,5364
222,1969-04-16,F,4804
223,1969-04-16,M,5036
224,1969-04-17,F,4832
225,1969-04-17,M,5044
226,1969-04-18,F,4832
227,1969-04-18,M,5040
228,1969-04-19,F,4292
229,1969-04-19,M,4702
230,1969-04-20,F,3760
231,1969-04-20,M,4168
232,1969-04-21,F,4828
233,1969-04-21,M,4782
234,1969-04-22,F,5016
235,1969-04-22,M,5210
236,1969-04-23,F,4660
237,1969-04-23,M,5208
238,1969-04-24,F,4620
239,1969-04-24,M,4852
240,1969-04-25,F,4610
241,1969-04-25,M,5036
242,1969-04-26,F,4338
243,1969-04-26,M,4584
244,1969-04-27,F,3846
245,1969-04-27,M,4120
246,1969-04-28,F,4622
247,1969-04-28,M,4896
248,1969-04-29,F,4622
249,1969-04-29,M,5078
250,1969-04-30,F,4396
251,1969-04-30,M,4742
256,1969-05-01,F,4598
257,1969-05-01,M,4608
258,1969-05-02,F,4708
259,1969-05-02,M,5028
260,1969-05-03,F,4148
261,1969-05-03,M,4620
262,1969-05-04,F,3922
263,1969-05-04,M,4172
264,1969-05-05,F,4854
265,1969-05-05,M,5076
266,1969-05-06,F,4906
267,1969-05-06,M,5058
268,1969-05-07,F,4724
269,1969-05-07,M,4902
270,1969-05-08,F,4564
271,1969-05-08,M,4920
272,1969-05-09,F,4634
273,1969-05-09,M,4728
274,1969-05-10,F,4072
275,1969-05-10,M,4444
276,1969-05-11,F,3998
277,1969-05-11,M,4124
278,1969-05-12,F,4570
279,1969-05-12,M,4736
280,1969-05-13,F,4776
281,1969-05-13,M,5086
282,1969-05-14,F,4402
283,1969-05-14,M,4782
284,1969-05-15,F,4646
285,1969-05-15,M,4878
286,1969-05-16,F,4880
287,1969-05-16,M,4944
288,1969-05-17,F,4376
289,1969-05-17,M,4570
290,1969-05-18,F,3922
291,1969-05-18,M,4106
292,1969-05-19,F,4626
293,1969-05-19,M,4868
294,1969-05-20,F,5034
295,1969-05-20,M,5354
296,1969-05-21,F,4698
297,1969-05-21,M,5068
298,1969-05-22,F,4630
299,1969-05-22,M,4776
300,1969-05-23,F,4548
301,1969-05-23,M,5036
302,1969-05-24,F,4174
303,1969-05-24,M,4384
304,1969-05-25,F,4030
305,1969-05-25,M,4196
306,1969-05-26,F,4752
307,1969-05-26,M,5088
308,1969-05-27,F,5264
309,1969-05-27,M,5088
310,1969-05-28,F,4966
311,1969-05-28,M,4972
312,1969-05-29,F,4878
313,1969-05-29,M,5312
314,1969-05-30,F,4452
315,1969-05-30,M,4702
316,1969-05-31,F,4112
317,1969-05-31,M,4528
320,1969-06-01,F,4174
321,1969-06-01,M,4252
322,1969-06-02,F,4736
323,1969-06-02,M,5126
324,1969-06-03,F,5146
325,1969-06-03,M,5012
326,1969-06-04,F,4750
327,1969-06-04,M,5088
