,date,driveInfo,sizeInMb,cost,dollarsPerGb
0,1980 January,Morrow Designs,26.0,5000.0,193000.0
1,1980 July,North Star,18.0,4199.0,233000.0
2,1981 September,Apple,5.0,3500.0,700000.0
3,1981 November,Seagate,5.0,1700.0,340000.0
4,1981 December,VR Data Corp.,6.3,2895.0,460000.0
5,1981 December,Morrow Designs,10.0,2999.0,300000.0
6,1981 December,Morrow Designs,10.0,2949.0,295000.0
7,1981 December,VR Data Corp.,19.0,5495.0,289000.0
8,1981 December,Morrow Designs,20.0,3829.0,191000.0
9,1981 December,Morrow Designs,26.0,3949.0,152000.0
10,1981 December,Morrow Designs,26.0,3599.0,138000.0
11,1982 March,Xebec,,,260000.0
12,1983 December,Corvus,6.0,1895.0,316000.0
13,1983 December,Corvus,10.0,2695.0,270000.0
14,1983 December,Xcomp,10.0,1895.0,190000.0
15,1983 December,Corvus,20.0,3495.0,175000.0
16,1983 December,Davong,10.0,1650.0,165000.0
17,1983 December,Xcomp,16.0,2095.0,131000.0
18,1983 December,Davong,21.0,2495.0,119000.0
19,1984 March,Percom/Tandon,5.0,1399.0,280000.0
20,1984 March,,5.0,1349.0,270000.0
21,1984 March,Percom/Tandon,10.0,1699.0,170000.0
22,1984 March,,10.0,1599.0,160000.0
23,1984 March,Percom/Tandon,15.0,2095.0,140000.0
24,1984 March,,15.0,1999.0,133000.0
25,1984 March,Percom/Tandon,20.0,2399.0,120000.0
26,1984 March,,20.0,2359.0,118000.0
27,1984 May,Tecmar,5.0,1495.0,299000.0
28,1984 May,Corvus,6.0,1695.0,283000.0
29,1984 May,Corvus,11.0,2350.0,214000.0
30,1984 May,Comrex,10.0,1995.0,200000.0
31,1984 May,CTI,11.0,1995.0,181000.0
32,1984 May,Davong,10.0,1645.0,165000.0
33,1984 May,Corvus,20.0,3150.0,158000.0
34,1984 May,Davong,15.0,2095.0,140000.0
35,1984 May,Davong,21.0,2495.0,119000.0
36,1984 May,Pegasus (Great Lakes),10.0,1075.0,108000.0
37,1984 May,Pegasus (Great Lakes),23.0,1845.0,80000.0
38,1985 July,First Class Peripherals,10.0,710.0,71000.0
39,1987 October,Iomega,10.0,899.0,90000.0
40,1987 October,Iomega,20.0,1199.0,60000.0
41,1987 October,Iomega,40.0,1799.0,45000.0
42,1988 May,,20.0,799.0,40000.0
43,1988 May,,30.0,995.0,33000.0
44,1988 May,,45.0,1195.0,27000.0
45,1988 May,,60.0,1795.0,30000.0
46,1988 May,,250.0,3995.0,16000.0
47,1989 March,Western Digital,20.0,899.0,53000.0
48,1989 March,Western Digital,40.0,1199.0,36000.0
49,1989 September,,,,12000.0
50,1990 September,,,,9000.0
51,1991 September,,,,7000.0
52,1992 September,,,,4000.0
53,1993 September,,,,2000.0
54,1994 September,,,,950.0
55,1995 January,Seagate,1000.0,849.0,850.0
56,1995 January,Seagate,1700.0,1499.0,880.0
57,1995 January,Seagate,2100.0,1699.0,810.0
58,1995 January,Seagate,2900.0,2899.0,990.0
59,1995 April,,240.0,250.0,1260.0
60,1995 April,,420.0,320.0,922.0
61,1995 April,,520.0,380.0,884.0
62,1995 April,,850.0,470.0,669.0
63,1995 April,,1000.0,625.0,756.0
64,1995 April,,1200.0,680.0,686.0
65,1996 June 10,Western Digital,1600.0,399.99,295.0
66,1996 August 14,IBM,1760.0,379.99,263.0
67,1996 August 14,Maxtor,2000.0,439.99,259.0
68,1996 September,Quantum,2500.0,440.0,207.0
69,1996 September,Quantum,3200.0,469.0,173.0
70,1997 August 13,Western Digital,2100.0,329.99,181.0
71,1997 August 13,Western Digital,3100.0,399.99,148.0
72,1997 August 13,Western Digital,4000.0,490.99,141.0
73,1997 August 24,Western Digital,2100.0,279.99,153.0
74,1997 August 24,Western Digital,3100.0,329.99,122.0
75,1997 August 24,Maxtor,3500.0,359.99,118.0
76,1997 August 24,Maxtor,4300.0,439.99,118.0
77,1997 August 24,Western Digital,5100.0,459.99,104.0
78,1997 September 5,Maxtor,7000.0,669.99,110.0
79,1997 November 29,Western Digital,3200.0,289.0,104.0
80,1997 November 29,Quantum,3200.0,285.0,102.0
81,1997 November 29,Quantum,4300.0,379.0,101.0
82,1997 November 29,Western Digital,4300.0,365.0,97.6
83,1997 November 29,Quantum,6400.0,475.0,85.4
84,1997 November 29,Western Digital,6400.0,445.0,80.0
85,1997 December 3,Western Digital,5100.0,449.99,101.0
86,1997 December 3,Quantum,6400.0,549.99,98.8
87,1997 December 3,Maxtor,5200.0,438.99,97.1
88,1997 December 3,Maxtor,7000.0,579.99,95.3
89,1997 December 3,Maxtor,8400.0,679.99,93.1
90,1998 January 16,Western Digital,6400.0,529.99,95.2
91,1998 January 16,Quantum,4300.0,349.99,93.6
92,1998 January 16,Quantum,6400.0,479.99,86.3
93,1998 January 16,Maxtor,8400.0,,83.9
94,1998 February 3,,5200.0,355.0,78.5
95,1998 February 3,,6400.0,435.0,78.2
96,1998 April 2,Maxtor,5100.0,379.99,85.7
97,1998 April 2,Maxtor,4300.0,319.99,85.6
98,1998 April 2,Western Digital,6400.0,,74.3
99,1998 April 2,Quantum,6400.0,339.99,61.1
100,1998 April 4,,5200.0,349.0,77.2
101,1998 April 4,Maxtor,4300.0,,76.3
102,1998 April 4,,6400.0,370.0,66.5
103,1998 April 4,,5200.0,300.0,66.3
104,1998 April 4,,9000.0,499.0,63.8
105,1998 April 17,Fujitsu,4300.0,282.0,75.4
106,1998 April 17,Fujitsu,5200.0,331.0,73.2
107,1998 April 17,Fujitsu,6400.0,368.0,66.1
108,1998 May 2,Seagate,6400.0,349.99,62.9
109,1998 May 9,Seagate,6400.0,329.99,59.3
110,1998 May 11,Fujitsu,3200.0,227.0,81.6
111,1998 May 11,Fujitsu,4300.0,257.0,68.7
112,1998 May 11,Fujitsu,5200.0,299.0,66.1
113,1998 May 11,Fujitsu,6400.0,328.0,58.9
114,1998 June 6,Maxtor,5700.0,299.99,60.5
115,1998 June 12,Quantum,4300.0,228.0,61.0
116,1998 June 12,Quantum,6400.0,298.0,53.5
117,1998 July 15,,5200.0,249.0,55.1
118,1998 July 31,Western Digital IDE,5100.0,262.0,59.1
119,1998 July 31,Fujitsu IDE,5200.0,252.0,55.7
120,1998 July 31,Western Digital IDE,6400.0,294.0,52.8
121,1998 July 31,Western Digital IDE,8400.0,382.0,52.3
122,1998 July 31,Fujitsu IDE,6400.0,291.0,52.3
123,1998 August 1,Western Digital EIDE,4000.0,,54.6
124,1998 August 6,Western Digital EIDE,5100.0,,46.4
125,1998 August 14,Fujitsu,6400.0,289.0,51.9
126,1998 August 26,Seagate,6400.0,279.99,50.3
127,1998 September 1,Maxtor UDMA,8400.0,379.99,52.0
128,1998 September 1,Maxtor UDMA,6800.0,279.99,47.4
129,1998 September 10,Western Digital EIDE,5100.0,,47.9
130,1998 October 1,Quantum,6400.0,,42.6
131,1999 February 12,Quantum,8000.0,299.99,43.1
132,1999 February 26,Maxtor,8400.0,,37.7
133,1999 February 26,Quantum,8000.0,,36.5
134,1999 February 27,Quantum,19200.0,512.46,30.7
135,1999 March 1,Fujitsu Ultra DMA,8400.0,253.0,34.6
136,1999 March 1,Fujitsu Ultra DMA,10200.0,299.0,33.7
137,1999 March 3,Fujitsu Ultra DMA,8400.0,235.0,32.2
138,1999 March 3,Fujitsu Ultra DMA,10200.0,285.0,32.1
139,1999 April 1,Fujitsu UDMA,10200.0,279.0,31.5
140,1999 April 1,Fujitsu UDMA,8400.0,229.0,31.4
141,1999 May 21,Fujitsu UDMA,6400.0,179.99,32.3
142,1999 May 27,Fujitsu UDMA,10200.0,245.0,27.6
143,1999 May 27,Fujitsu UDMA,8400.0,198.0,27.1
144,1999 May 27,Fujitsu UDMA,17300.0,369.0,24.5
145,1999 May 28,Maxtor UDMA,10000.0,249.99,28.8
146,1999 July 21,Maxtor Ultra DMA,8400.0,199.99,27.4
147,1999 July 30,Fujitsu UDMA,6400.0,139.99,26.3
148,1999 September 25,,10200.0,,18.5
149,1999 October 1,Quantum CX UTA 66,10200.0,199.0,22.4
150,1999 October 1,Quantum KA 7200 rpm,13600.0,249.0,21.1
151,1999 October 1,Western Digital,20000.0,359.0,20.6
152,1999 October 1,Western Digital 7200 rpm,27300.0,489.0,20.6
153,1999 October 1,Quantum CX UTA 66,13600.0,219.0,18.5
154,1999 December 1,Western Digital IDE,20500.0,398.0,22.3
155,1999 December 1,Quantum IDE,18200.0,348.0,22.0
156,1999 December 1,,10200.0,189.0,21.3
157,1999 December 1,Fujitsu IDE,10200.0,189.0,21.3
158,1999 December 1,Fujitsu IDE,13000.0,208.0,18.4
159,1999 December 1,,13000.0,195.0,17.3
160,1999 December 1,Fujitsu IDE,20400.0,299.0,16.9
161,1999 December 1,Fujitsu IDE,17300.0,248.0,16.5
162,1999 December 1,Fujitsu IDE,27300.0,388.0,16.3
163,1999 December 1,,17300.0,225.0,15.0
164,2000 February 1,,10200.0,175.0,19.7
165,2000 February 1,Fujitsu,20400.0,299.0,16.9
166,2000 February 1,Fujitsu,13600.0,199.0,16.8
167,2000 February 1,,12900.0,187.99,16.8
168,2000 February 1,Fujitsu,13600.0,197.8,16.7
169,2000 February 1,,13000.0,186.0,16.5
170,2000 February 1,Fujitsu,17300.0,238.0,15.8
171,2000 February 1,Fujitsu,27300.0,375.0,15.8
