"","histname","longname","year","histcode","franchise","so","g"
"1"," Boston Beaneaters","1901 Boston Beaneaters",1901,"BSN","ATL",518,140
"2"," Milwaukee Brewers","1901 Milwaukee Brewers",1901,"MLA","BAL",387,139
"3"," Boston Americans","1901 Boston Americans",1901,"BOS","BOS",281,138
"4"," Chicago Orphans","1901 Chicago Orphans",1901,"CHC","CHC",530,140
"5"," Chicago White Sox","1901 Chicago White Sox",1901,"CHW","CHW",336,137
"6"," Cincinnati Reds","1901 Cincinnati Reds",1901,"CIN","CIN",587,142
"7"," Cleveland Blues","1901 Cleveland Blues",1901,"CLE","CLE",322,138
"8"," Detroit Tigers","1901 Detroit Tigers",1901,"DET","DET",348,136
"9"," Brooklyn Superbas","1901 Brooklyn Superbas",1901,"BRO","LAD",446,137
"10"," Washington Senators","1901 Washington Senators",1901,"WSH","MIN",339,138
"11"," Baltimore Orioles","1901 Baltimore Orioles",1901,"BLA","NYY",373,135
"12"," Philadelphia Athletics","1901 Philadelphia Athletics",1901,"PHA","OAK",344,137
"13"," Philadelphia Phillies","1901 Philadelphia Phillies",1901,"PHI","PHI",550,140
"14"," Pittsburgh Pirates","1901 Pittsburgh Pirates",1901,"PIT","PIT",497,140
"15"," New York Giants","1901 New York Giants",1901,"NYG","SFG",578,141
"16"," St. Louis Cardinals","1901 St. Louis Cardinals",1901,"STL","STL",540,142
"17"," Boston Beaneaters","1902 Boston Beaneaters",1902,"BSN","ATL",483,142
"18"," St. Louis Browns","1902 St. Louis Browns",1902,"SLB","BAL",324,140
"19"," Boston Americans","1902 Boston Americans",1902,"BOS","BOS",371,138
"20"," Chicago Orphans","1902 Chicago Orphans",1902,"CHC","CHC",566,143
"21"," Chicago White Sox","1902 Chicago White Sox",1902,"CHW","CHW",379,138
"22"," Cincinnati Reds","1902 Cincinnati Reds",1902,"CIN","CIN",467,141
"23"," Cleveland Bronchos","1902 Cleveland Bronchos",1902,"CLE","CLE",353,137
"24"," Detroit Tigers","1902 Detroit Tigers",1902,"DET","DET",289,137
"25"," Brooklyn Superbas","1902 Brooklyn Superbas",1902,"BRO","LAD",491,141
"26"," Washington Senators","1902 Washington Senators",1902,"WSH","MIN",292,138
"27"," Baltimore Orioles","1902 Baltimore Orioles",1902,"BLA","NYY",424,141
"28"," Philadelphia Athletics","1902 Philadelphia Athletics",1902,"PHA","OAK",288,137
